Battery_Type,Scenario,Runtime_Days,Average_Current_mA
18650 Li-Ion,Battery Saver,205.04166666666666,0.6739583333333333
AA Alkaline,Battery Saver,148.08333333333334,0.6739583333333333
18650 Li-Ion,Rare Detection,103.70833333333333,1.3327777777777776
CR123A Lithium,Battery Saver,89.91666666666667,0.6739583333333333
AA Alkaline,Rare Detection,74.875,1.3327777777777776
CR123A Lithium,Rare Detection,45.5,1.3327777777777776
18650 Li-Ion,Moderate Detection,32.375,4.271111111111111
LiPo 500mAh,Battery Saver,30.083333333333332,0.6739583333333333
AA Alkaline,Moderate Detection,23.375,4.271111111111111
18650 Li-Ion,Frequent Detection,16.958333333333332,8.158333333333333
