timestamp, utilization.gpu [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/06/08 13:49:38.591, 30 %, 495 MiB, 12288 MiB, 47, 19.52 W
2025/06/08 13:49:48.602, 7 %, 663 MiB, 12288 MiB, 49, 41.94 W
2025/06/08 13:49:58.603, 5 %, 616 MiB, 12288 MiB, 50, 40.99 W
2025/06/08 13:50:08.604, 4 %, 617 MiB, 12288 MiB, 50, 41.01 W
2025/06/08 13:50:18.605, 7 %, 628 MiB, 12288 MiB, 51, 41.43 W
2025/06/08 13:50:28.606, 8 %, 615 MiB, 12288 MiB, 51, 42.31 W
2025/06/08 13:50:38.607, 8 %, 607 MiB, 12288 MiB, 52, 42.39 W
2025/06/08 13:50:48.608, 5 %, 607 MiB, 12288 MiB, 52, 42.21 W
2025/06/08 13:50:58.609, 5 %, 619 MiB, 12288 MiB, 51, 42.72 W
2025/06/08 13:51:08.610, 6 %, 619 MiB, 12288 MiB, 50, 42.63 W
2025/06/08 13:51:18.610, 6 %, 636 MiB, 12288 MiB, 49, 41.79 W
2025/06/08 13:51:28.612, 5 %, 623 MiB, 12288 MiB, 49, 41.97 W
2025/06/08 13:51:38.617, 7 %, 619 MiB, 12288 MiB, 48, 41.55 W
2025/06/08 13:51:48.618, 7 %, 617 MiB, 12288 MiB, 48, 41.24 W
2025/06/08 13:51:58.619, 5 %, 640 MiB, 12288 MiB, 48, 41.78 W
2025/06/08 13:52:08.619, 4 %, 634 MiB, 12288 MiB, 49, 41.04 W
2025/06/08 13:52:18.620, 5 %, 628 MiB, 12288 MiB, 49, 40.63 W
2025/06/08 13:52:28.621, 7 %, 631 MiB, 12288 MiB, 50, 40.95 W
2025/06/08 13:52:38.622, 6 %, 628 MiB, 12288 MiB, 51, 41.46 W
2025/06/08 13:52:48.623, 8 %, 628 MiB, 12288 MiB, 51, 41.19 W
2025/06/08 13:52:58.624, 6 %, 628 MiB, 12288 MiB, 52, 41.63 W
2025/06/08 13:53:08.625, 6 %, 628 MiB, 12288 MiB, 52, 42.19 W
2025/06/08 13:53:18.626, 5 %, 628 MiB, 12288 MiB, 51, 42.13 W
2025/06/08 13:53:28.627, 7 %, 647 MiB, 12288 MiB, 50, 42.15 W
2025/06/08 13:53:38.628, 1 %, 657 MiB, 12288 MiB, 50, 42.55 W
2025/06/08 13:53:48.628, 5 %, 638 MiB, 12288 MiB, 49, 41.31 W
2025/06/08 13:53:58.629, 4 %, 593 MiB, 12288 MiB, 48, 41.13 W
2025/06/08 13:54:08.629, 5 %, 591 MiB, 12288 MiB, 49, 41.48 W
2025/06/08 13:54:18.630, 7 %, 606 MiB, 12288 MiB, 49, 41.71 W
2025/06/08 13:54:28.631, 6 %, 592 MiB, 12288 MiB, 50, 43.15 W
2025/06/08 13:54:38.632, 6 %, 590 MiB, 12288 MiB, 50, 41.18 W
2025/06/08 13:54:48.633, 5 %, 589 MiB, 12288 MiB, 51, 41.29 W
2025/06/08 13:54:58.634, 4 %, 589 MiB, 12288 MiB, 52, 42.33 W
2025/06/08 13:55:08.634, 5 %, 614 MiB, 12288 MiB, 51, 42.59 W
